-0.028379,-9.4019,-0.05168,-32.82,1.6524,7.1253
-0.28275,54.061,-0.21319,33.71,3.6303,-3.3154
-0.57682,67.428,-0.62348,114.96,3.3314,-17.154
-0.018599,38.625,-0.012895,24.352,2.1731,0
-0.61118,85.687,-0.54888,84.434,2.9469,-24.504
-0.071147,50.588,-0.052294,63.917,2.335,-18.262
-0.3294,79.946,-0.32594,82.394,3.9934,-13.244
0.12144,-11.777,0.097215,-19.557,1.9773,-2.693
-0.25857,47.08,-0.25828,36.467,2.1069,1.6305
-0.43031,43.614,-0.428,54.249,3.3595,-1.7424
-0.3829,27.761,-0.39006,23.74,2.2386,5.016
0.010753,-27.983,0.023569,-59.022,1.8974,-4.0005
